video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
Z48o8yXCEW0,"""Exposing the Dark Side, Part 1"" Your World with Creflo",2016-10-31 12:36:43+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT28M30S,1710,1343742,24843.0,2706.0,https://www.youtube.com/watch?v=Z48o8yXCEW0
XY_AG31qZXY,How to Receive the Presence of God Daily,2021-10-10 16:49:14+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H39M57S,5997,1216976,15844.0,1255.0,https://www.youtube.com/watch?v=XY_AG31qZXY
bGsNEm-IX_Q,The Battle of the Mind - Sunday Service,2021-01-31 17:17:19+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H11M57S,4317,1079225,20347.0,1400.0,https://www.youtube.com/watch?v=bGsNEm-IX_Q
gKwrFT29OhQ,"""Rejected by Christians"" on Your World with Creflo",2018-08-03 19:45:12+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT28M30S,1710,1057550,7560.0,1827.0,https://www.youtube.com/watch?v=gKwrFT29OhQ
qCVbH6qbPPg,How to Defeat the Devil in Your Mind - Sunday Service,2023-08-20 17:21:56+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H59M29S,7169,918240,13007.0,1384.0,https://www.youtube.com/watch?v=qCVbH6qbPPg
qrvWB8HFiNM,How to Recognize When You're in a Spiritual Battle - Sunday Service,2023-08-13 16:43:10+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H34M27S,5667,879311,15161.0,1606.0,https://www.youtube.com/watch?v=qrvWB8HFiNM
QFS6sccrjW4,From Imagination To Manifestation | 06.03.15,2015-12-04 18:29:35+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT56M10S,3370,853643,12358.0,682.0,https://www.youtube.com/watch?v=QFS6sccrjW4
KXJjvZmlAMI,Sunday Service - How To Use Your Spiritual Authority,2020-03-29 16:26:40+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H7M9S,4029,826899,14468.0,1108.0,https://www.youtube.com/watch?v=KXJjvZmlAMI
I-wtR5ncqiY,The Key to Manifestations | 08.09.15,2015-12-07 16:57:28+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H8M49S,4129,776407,10104.0,622.0,https://www.youtube.com/watch?v=I-wtR5ncqiY
VHr2334ZFpc,How To Completely Depend On God - Sunday Service,2022-06-05 16:51:08+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H19M50S,4790,743885,11732.0,814.0,https://www.youtube.com/watch?v=VHr2334ZFpc
zOSboAvyy9E,The Great Misunderstanding - Sunday Service,2022-06-26 16:56:03+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H20M13S,4813,722481,14817.0,3941.0,https://www.youtube.com/watch?v=zOSboAvyy9E
mT-ZES7iN6o,How to Overcome Negative Emotions | Creflo Dollar Ministries,2018-10-28 18:00:47+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT2H42M36S,9756,706116,12161.0,831.0,https://www.youtube.com/watch?v=mT-ZES7iN6o
nbrKeifTI2U,How to Know God For Yourself - Sunday Service,2021-10-03 17:55:10+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H46M59S,6419,687926,9829.0,1273.0,https://www.youtube.com/watch?v=nbrKeifTI2U
cNaHk0lhnz4,The Behavior and the Character of the Last Day Society - Sunday Service,2021-07-25 16:50:38+00:00,UCBEcQzSjUXZcoeK7_Yy69sA,Creflo Dollar Ministries,PT1H29M31S,5371,555829,12541.0,1543.0,https://www.youtube.com/watch?v=cNaHk0lhnz4
