video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
xqgeT26BAnE,How to Seek the Holy Spirit,2018-02-02 16:00:03+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT58M39S,3519,2321456,30737.0,1844.0,https://www.youtube.com/watch?v=xqgeT26BAnE
R7Q7oV9exO4,Why Did Demons Ask Jesus for Pigs?,2020-10-05 09:45:00+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT11M6S,666,2092808,41747.0,7641.0,https://www.youtube.com/watch?v=R7Q7oV9exO4
SzimKdJKi6Q,Is Oral Sex Okay?,2016-10-18 18:40:23+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT8M39S,519,2089582,13650.0,6120.0,https://www.youtube.com/watch?v=SzimKdJKi6Q
jLRue4nwJaA,Why I Abombinate the Prosperity ‘Gospel’,2009-10-27 22:32:30+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT10M35S,635,1456922,17812.0,5416.0,https://www.youtube.com/watch?v=jLRue4nwJaA
n9QP-cqwyAw,Love Jesus More Than You Love Anything,2015-11-23 22:10:54+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT12M14S,734,1452834,58180.0,3273.0,https://www.youtube.com/watch?v=n9QP-cqwyAw
4S0TQ2dXnms,"An Evening of Eschatology – Premillennialism, Amillennialism, Postmillennialism",2013-03-28 14:55:08+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT2H6M55S,7615,1255455,15819.0,3867.0,https://www.youtube.com/watch?v=4S0TQ2dXnms
0yOHIGOSmMs,Two Strategies to Win the War on Lust,2018-01-31 00:00:00+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT13M22S,802,1167949,30369.0,2133.0,https://www.youtube.com/watch?v=0yOHIGOSmMs
BkKKWO0qSvw,Does God Forgive Sexual Immorality?,2016-11-14 14:00:00+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT12M49S,769,1005195,24137.0,5752.0,https://www.youtube.com/watch?v=BkKKWO0qSvw
k0jp8-lyltM,Don’t Waste Your Life Sentence,2013-02-21 21:21:35+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT38M32S,2312,993690,7725.0,2316.0,https://www.youtube.com/watch?v=k0jp8-lyltM
mlKXdfvfgPk,Is My Repentance Real If I Keep Committing the Same Sin?,2021-05-07 09:45:01+00:00,UCnrFlpro0xfYjz6s5Xa8WWw,Desiring God,PT14M33S,873,981131,28199.0,4448.0,https://www.youtube.com/watch?v=mlKXdfvfgPk
