video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
dMpzvw4yhB8,When Anxiety Attacks | Pastor Steven Furtick | Elevation Church,2016-10-17 15:30:27+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT42M42S,2562,6959909,,3704.0,https://www.youtube.com/watch?v=dMpzvw4yhB8
9yoaNVFo-tI,When The Battle Chooses You | Pastor Steven Furtick | Elevation Church,2019-06-03 15:32:14+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT50M35S,3035,6831296,143770.0,7516.0,https://www.youtube.com/watch?v=9yoaNVFo-tI
z28Nd7cScFg,The Blessing Of Letting Go | Pastor Steven Furtick | Elevation Church,2023-10-29 21:12:12+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT59M58S,3598,5117014,96335.0,5764.0,https://www.youtube.com/watch?v=z28Nd7cScFg
SoTlFJh_6NE,Taking Control Of Your Mind | Pastor Steven Furtick | Elevation Church,2020-10-12 00:00:10+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT59M23S,3563,5065167,128377.0,12944.0,https://www.youtube.com/watch?v=SoTlFJh_6NE
UaQTjmX0Ifc,A Lesson In Letting Go | Pastor Steven Furtick | Elevation Church,2020-04-26 21:30:05+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H12M4S,4324,4808027,98504.0,24926.0,https://www.youtube.com/watch?v=UaQTjmX0Ifc
QIjIvvHGJ9E,A Troubled Mind And An Open Door | Pastor Steven Furtick | Elevation Church,2021-09-19 18:45:42+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H,3600,4614403,90018.0,10332.0,https://www.youtube.com/watch?v=QIjIvvHGJ9E
RoxIg6CWAbY,I’m Confused About My Calling | Maybe: God | Pastor Steven Furtick | Elevation Church,2019-02-11 16:30:05+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT46M32S,2792,4565075,106902.0,4788.0,https://www.youtube.com/watch?v=RoxIg6CWAbY
CZk90baM79o,Tired On The Inside | Pastor Steven Furtick | Elevation Church,2020-06-08 00:00:02+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H4M17S,3857,4137899,92775.0,13794.0,https://www.youtube.com/watch?v=CZk90baM79o
wYIghuFEo5Q,Everything Must Go | Pastor Sarah Jakes Roberts,2018-09-03 15:30:10+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT41M6S,2466,4124985,119052.0,4961.0,https://www.youtube.com/watch?v=wYIghuFEo5Q
3Zi_zG6o4pU,Fix Your Focus | The Other Half | Pastor Steven Furtick | Elevation Church,2016-08-08 15:39:12+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT49M41S,2981,3907375,,1356.0,https://www.youtube.com/watch?v=3Zi_zG6o4pU
omlxpmTDDeI,Don't Waste Your Angel | Waymaker | Pastor Steven Furtick,2017-11-27 16:37:29+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT47M56S,2876,3540156,71888.0,2004.0,https://www.youtube.com/watch?v=omlxpmTDDeI
vVGh0kxR0lQ,Forgiving What You Can’t Forget | Lysa TerKeurst | Elevation Church,2024-06-09 21:00:34+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT42M51S,2571,3435116,80364.0,2876.0,https://www.youtube.com/watch?v=vVGh0kxR0lQ
D7Foy9nkMV0,Chain Breaker | Bishop T.D. Jakes | Elevation Church,2020-02-17 12:45:08+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H21M16S,4876,3226542,56512.0,4422.0,https://www.youtube.com/watch?v=D7Foy9nkMV0
KBF0NJ1EPXk,Marked | Savage Jesus | Pastor Michael Todd,2018-04-09 16:13:41+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT51M22S,3082,3097130,82189.0,3390.0,https://www.youtube.com/watch?v=KBF0NJ1EPXk
NRM00dIOAts,3 Habits of a Healthy Heart | Pastor Steven Furtick,2017-01-09 16:32:43+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT35M28S,2128,2910504,,1009.0,https://www.youtube.com/watch?v=NRM00dIOAts
X_dl50aDEr0,It Will Come Together | Pastor Steven Furtick | Elevation Church,2022-03-27 21:00:11+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H6M49S,4009,2704022,50591.0,4925.0,https://www.youtube.com/watch?v=X_dl50aDEr0
Ea8pHeetkgo,Detoxing Your Mind: An Interview With Dr. Caroline Leaf,2018-09-08 20:46:01+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT46M32S,2792,2555027,64204.0,2303.0,https://www.youtube.com/watch?v=Ea8pHeetkgo
vA1ek-6he6Y,Just The 2 Of Us | Pastor Steven Furtick | Elevation Church,2020-09-28 00:00:09+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H25M53S,5153,2471348,36087.0,12874.0,https://www.youtube.com/watch?v=vA1ek-6he6Y
DmrjYZfF7q4,Unschedulable Blessings | Pastor Steven Furtick | Elevation Church,2020-07-27 00:00:03+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H16M2S,4562,2427030,43675.0,15867.0,https://www.youtube.com/watch?v=DmrjYZfF7q4
wg7WNMS0xKE,God’s Got Your Back | Pastor Steven Furtick | Elevation Church,2022-08-28 21:00:08+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT56M16S,3376,2362865,69970.0,6356.0,https://www.youtube.com/watch?v=wg7WNMS0xKE
qAQjgpnXj2k,It Had To Happen | Pastor Steven Furtick,2017-07-24 15:31:47+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT45M9S,2709,2293841,50627.0,1571.0,https://www.youtube.com/watch?v=qAQjgpnXj2k
JOvc2Imvzvg,Why Am I Anxious? | Bars & Battles | Pastor Steven Furtick,2017-08-28 16:01:57+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT47M37S,2857,2282709,48699.0,1348.0,https://www.youtube.com/watch?v=JOvc2Imvzvg
rR3PpI9d-Mk,Ugly Trust | Pastor Steven Furtick | Elevation Church,2023-04-30 21:09:50+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H7M30S,4050,2221435,38121.0,6697.0,https://www.youtube.com/watch?v=rR3PpI9d-Mk
XmBCd4d0c7o,Devil You’ve Held Me Long Enough | Pastor Steven Furtick | Elevation Church,2022-01-10 00:00:08+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H27S,3627,2205223,55734.0,3361.0,https://www.youtube.com/watch?v=XmBCd4d0c7o
VC5HUJAnn-8,God’s Up To Something Upstream! | Pastor Steven Furtick | Elevation Church,2023-03-05 22:32:50+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H15M8S,4508,2125850,47747.0,6738.0,https://www.youtube.com/watch?v=VC5HUJAnn-8
