video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
gRmi3cQ2hBw,Joel Osteen - Empty Out The Negative,2016-07-31 05:00:01+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M6S,1626,11004242,171044,6634.0,https://www.youtube.com/watch?v=gRmi3cQ2hBw
GA6uE2CPo1I,Your Words Become Your Reality | Joel Osteen,2016-01-07 15:15:37+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M23S,1643,9793494,165574,8542.0,https://www.youtube.com/watch?v=GA6uE2CPo1I
huf1UlSh_LY,Don't Rely On People | Joel Osteen,2016-06-05 05:00:01+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT26M58S,1618,7079811,108584,2039.0,https://www.youtube.com/watch?v=huf1UlSh_LY
GEQGDJNPIbE,Invite God Into Your Difficulties | Joel Osteen,2020-03-16 12:30:01+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT28M36S,1716,5901951,114593,6191.0,https://www.youtube.com/watch?v=GEQGDJNPIbE
RWUQOyEN_Qw,The Secret to Solving Problems | Joel Osteen,2020-07-13 12:00:14+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT28M25S,1705,5621046,83516,4744.0,https://www.youtube.com/watch?v=RWUQOyEN_Qw
iqXVbi0LeBk,Choose To Be Happy | Joel Osteen,2022-01-09 19:00:15+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT28M34S,1714,5582386,110693,5526.0,https://www.youtube.com/watch?v=iqXVbi0LeBk
k1Lld5nj5M4,Invite God Into Your Difficulties | Joel Osteen,2021-08-30 12:00:30+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT28M36S,1716,5189269,107401,6997.0,https://www.youtube.com/watch?v=k1Lld5nj5M4
FKq6Y-w6LSw,Dealing With Difficult People | Joel Osteen,2021-11-15 13:00:05+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M51S,1671,5033025,115224,7077.0,https://www.youtube.com/watch?v=FKq6Y-w6LSw
BXIvrF2kARE,Peace With Yourself | Joel Osteen,2016-12-11 06:00:00+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M1S,1621,4895167,63757,2589.0,https://www.youtube.com/watch?v=BXIvrF2kARE
HCQsdHqx3ao,Ask Big | Joel Osteen,2016-02-21 06:00:00+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M17S,1637,4183962,61938,3207.0,https://www.youtube.com/watch?v=HCQsdHqx3ao
-chal5JxwSY,Believing When You're Not Seeing | Joel Osteen,2019-10-20 12:30:00+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT28M13S,1693,4163465,82550,4551.0,https://www.youtube.com/watch?v=-chal5JxwSY
RR57tZSNwgo,Miracles In Your Mouth | Joel Osteen,2019-02-10 13:30:01+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M33S,1653,4156894,69716,4262.0,https://www.youtube.com/watch?v=RR57tZSNwgo
bx7lS9UkE0s,Don't Waste Your Pain | Joel Osteen,2016-02-09 19:06:13+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M32S,1652,4009488,67732,2988.0,https://www.youtube.com/watch?v=bx7lS9UkE0s
blzydAg86vw,Joel Osteen - God's Got This,2017-08-27 12:30:00+00:00,UCvxWyn4rfcI2H9APhfUIB1Q,Joel Osteen,PT27M28S,1648,3888684,57239,3100.0,https://www.youtube.com/watch?v=blzydAg86vw
