video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
xY2sdEf7bgY,"Sunday, July 4, 2021",2021-07-04 17:48:27+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT58M52S,3532,35223,272.0,,https://www.youtube.com/watch?v=xY2sdEf7bgY
g2GZBhfCLdM,Pray & Fast,2019-05-12 17:09:03+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT51M57S,3117,18579,296.0,12.0,https://www.youtube.com/watch?v=g2GZBhfCLdM
nHJCTf2diKQ,What will Matter on that Day?,2019-09-16 15:13:34+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT58M33S,3513,18109,239.0,25.0,https://www.youtube.com/watch?v=nHJCTf2diKQ
Xg947kcTZ8w,Patience When Life Is Painful (James 5:7-12) || The Beauty of Faith || David Platt,2023-12-10 18:06:19+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT44M13S,2653,16167,257.0,,https://www.youtube.com/watch?v=Xg947kcTZ8w
Cp952vdW5xg,Realizing What It Really Means To Follow Jesus | Mark 8:31-38 | David Platt,2022-06-05 18:30:30+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT48M6S,2886,13531,163.0,,https://www.youtube.com/watch?v=Cp952vdW5xg
SbjxaEvniek,Being With God In Quiet (Matthew 6:6) || Being With God || David Platt,2024-01-14 17:45:44+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT49M2S,2942,13183,202.0,,https://www.youtube.com/watch?v=SbjxaEvniek
8PGb9h_dkSM,Real Or Counterfeit Christianity? (Mark 12:35-40) || Following Jesus || David Platt,2023-05-28 17:34:14+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT46M2S,2762,11348,161.0,,https://www.youtube.com/watch?v=8PGb9h_dkSM
dcgm1BBVhMA,His Yoke Is Easy And His Burden Is Light (Matthew 11:30) || David Platt,2023-07-16 17:30:41+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT55M25S,3325,11333,166.0,12.0,https://www.youtube.com/watch?v=dcgm1BBVhMA
UBbN6Qsu8cs,"God, Why? | Job 3 | David Platt",2022-02-06 20:26:44+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT47M8S,2828,11011,151.0,,https://www.youtube.com/watch?v=UBbN6Qsu8cs
iUtFx2wKSFg,A Psalm For Everything | Trust The Lord To Build The House | Psalm 127 | David Platt,2022-08-07 18:43:17+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT52M50S,3170,10859,141.0,,https://www.youtube.com/watch?v=iUtFx2wKSFg
FEMJovZCWcg,The Thing You Need More Than Anything | Luke 10:38-42 | Mike Kelsey,2022-01-30 20:50:25+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT48M54S,2934,9891,122.0,,https://www.youtube.com/watch?v=FEMJovZCWcg
Ve2gTm4bEaM,Six Foundations for Spiritual Battle (Ephesians 6:10-13) || How to Fight in the Dark || David Platt,2025-07-14 16:34:01+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT45M25S,2725,9151,186.0,,https://www.youtube.com/watch?v=Ve2gTm4bEaM
dduvXBy2GC4,The Heart Of True Religion | Mark 7:1-23 | David Platt,2022-04-03 17:13:35+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT42M46S,2566,9005,72.0,,https://www.youtube.com/watch?v=dduvXBy2GC4
tJz6R9yCm1w,"Sunday, March 15, 2020",2020-03-15 14:57:21+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H34M22S,5662,8649,115.0,7.0,https://www.youtube.com/watch?v=tJz6R9yCm1w
2O5ehtE97Bo,A Story of a Changed Life,2019-12-13 01:52:15+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT59M5S,3545,8482,237.0,0.0,https://www.youtube.com/watch?v=2O5ehtE97Bo
UlD8scWwmBo,Lon and Brenda Solomon's 35th Anniversary at MBC HD,2015-10-19 20:45:30+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H58M25S,7105,8307,72.0,9.0,https://www.youtube.com/watch?v=UlD8scWwmBo
DVnFaY924vc,"Easter Sunday, April 12, 2020",2020-04-12 14:41:19+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H29M25S,5365,8263,132.0,5.0,https://www.youtube.com/watch?v=DVnFaY924vc
R1cNneKJNww,"Sunday, May 17, 2020",2020-05-17 15:02:18+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H45M54S,6354,7757,90.0,10.0,https://www.youtube.com/watch?v=R1cNneKJNww
nyXa-QVWABA,The Beauty of Faith In The Middle of Trials (James 1:1-12) || The Beauty of Faith || David Platt,2023-09-24 18:29:41+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT51M59S,3119,7643,118.0,6.0,https://www.youtube.com/watch?v=nyXa-QVWABA
dIVxZKIFjEw,The Sword Of The Spirit (Ephesians 6:17) || How To Fight In The Dark || David Platt,2025-08-24 16:27:11+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT46M54S,2814,7206,136.0,,https://www.youtube.com/watch?v=dIVxZKIFjEw
isIh78wGPPE,Responding Biblically To Overturning Roe | Psalm 139:13-16 | David Platt,2022-07-03 18:03:15+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H2M42S,3762,6981,111.0,,https://www.youtube.com/watch?v=isIh78wGPPE
e72YX0ONK48,The God Who Fights For Us As We Face Opposition (Nehemiah 4) || What Could God Do? || David Platt,2024-03-10 17:42:24+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT46M47S,2807,6785,116.0,,https://www.youtube.com/watch?v=e72YX0ONK48
EEhILO3buHo,Resetting Our Lives Around What Really Matters (Genesis 1:27) || David Platt,2023-01-08 18:49:08+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT48M6S,2886,6733,76.0,,https://www.youtube.com/watch?v=EEhILO3buHo
iQYdYodV7Jo,Mama Maggie interview with Lon Solomon,2016-05-16 21:20:22+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT10M33S,633,6645,89.0,9.0,https://www.youtube.com/watch?v=iQYdYodV7Jo
lNgZyzs_QF0,"Sunday, June 27, 2021",2021-06-27 11:12:26+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT3H50M18S,13818,6557,,,https://www.youtube.com/watch?v=lNgZyzs_QF0
FsEqum3IarQ,"Sunday, August 16, 2020",2020-08-16 15:02:15+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H38M56S,5936,6501,73.0,6.0,https://www.youtube.com/watch?v=FsEqum3IarQ
u_zkXhQxOS0,The Pastoral Installation of Mike Kelsey,2023-12-04 03:32:14+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT2H51M9S,10269,6477,109.0,,https://www.youtube.com/watch?v=u_zkXhQxOS0
ypYk_lySc1o,Now I See It | God Is Our Keeper | Psalm 121:1-8 | Eric Saunders,2022-06-19 18:31:12+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT37M56S,2276,6410,42.0,,https://www.youtube.com/watch?v=ypYk_lySc1o
NMBAqjgyqdQ,You Need Biblical Accountability and Discipline (Hebrews 12:3-11) || David Platt,2022-10-30 19:17:28+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT43M53S,2633,6383,88.0,,https://www.youtube.com/watch?v=NMBAqjgyqdQ
N-jYjkw7FZs,"Sunday, March 22, 2020",2020-03-22 14:52:11+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H32M27S,5547,6369,66.0,3.0,https://www.youtube.com/watch?v=N-jYjkw7FZs
gktFLyuuQqM,The Belt Of Truth (Ephesians 6:14) || How To Fight In The Dark || David Platt,2025-07-20 16:45:25+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT46M5S,2765,6329,119.0,,https://www.youtube.com/watch?v=gktFLyuuQqM
RTSUd3oC6zw,God's Word To You In The Storm | Mark 6:45-56 | David Platt,2022-03-27 17:09:17+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT52M25S,3145,6157,84.0,,https://www.youtube.com/watch?v=RTSUd3oC6zw
00XG9F2NDwY,How To Experience Your Highest Good And Greatest Joy (Mark 12:28-34) | Following Jesus | David Platt,2023-05-21 16:56:56+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT49M16S,2956,6009,92.0,,https://www.youtube.com/watch?v=00XG9F2NDwY
Na1GrWvN5fs,The King We Need (Mark 11:1-11) || Following Jesus || David Platt,2023-04-02 19:39:41+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT57M44S,3464,5972,41.0,,https://www.youtube.com/watch?v=Na1GrWvN5fs
o3H7b0CGXdo,"Sunday, September 27, 2020",2020-09-27 14:36:23+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H26M6S,5166,5961,96.0,6.0,https://www.youtube.com/watch?v=o3H7b0CGXdo
2HQBC4RSC0o,"Sunday, May 10, 2020",2020-05-10 15:00:12+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H44M58S,6298,5920,92.0,5.0,https://www.youtube.com/watch?v=2HQBC4RSC0o
UUs5mQ0WBP8,Praying and Working for Justice: Racialization,2020-05-27 18:06:13+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT45M39S,2739,5886,70.0,125.0,https://www.youtube.com/watch?v=UUs5mQ0WBP8
uJrTvs2AuY8,"Sunday, October 4, 2020",2020-10-04 16:26:09+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H33M29S,5609,5874,68.0,6.0,https://www.youtube.com/watch?v=uJrTvs2AuY8
sOS2Hq6vYlc,Rest For Your Restless Soul (Psalm 131) || Walk With Jesus || David Platt,2025-05-11 16:30:28+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT33M31S,2011,5840,107.0,,https://www.youtube.com/watch?v=sOS2Hq6vYlc
Su1B4RChv0w,"God's Good Design For Humanity, Part 2 (Genesis 1:26) | Mike Kelsey",2025-09-28 16:56:45+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT55M45S,3345,5811,110.0,,https://www.youtube.com/watch?v=Su1B4RChv0w
alHBT2M6La8,"Sunday, February 14, 2021",2021-02-14 15:35:17+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H29M40S,5380,5760,49.0,3.0,https://www.youtube.com/watch?v=alHBT2M6La8
CBsk8AYWhBY,"Sunday, August 2, 2020",2020-08-02 14:43:56+00:00,UCoDxftXDphzpWAutX4c833g,McLean Bible Church,PT1H35M55S,5755,5568,72.0,4.0,https://www.youtube.com/watch?v=CBsk8AYWhBY
