video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
5FXqdzyGU3A,Revelation: Introduction - Week 1 - Sermons - Matt Chandler,2021-02-08 19:04:59+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT47M24S,2844,198497,2737.0,182.0,https://www.youtube.com/watch?v=5FXqdzyGU3A
FuOFGtNHMLw,The Role of Women in Ministry,2017-11-28 16:42:01+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT20M18S,1218,186290,1809.0,648.0,https://www.youtube.com/watch?v=FuOFGtNHMLw
-DxRVrvFOaE,Physical Intimacy,2017-06-05 16:41:04+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT42M49S,2569,170864,2218.0,42.0,https://www.youtube.com/watch?v=-DxRVrvFOaE
ggKER3SyaZQ,What Is Marriage?,2017-05-30 15:36:37+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT54M6S,3246,168987,2231.0,65.0,https://www.youtube.com/watch?v=ggKER3SyaZQ
Moulqq-h-d8,Know Your Bible,2017-07-14 15:41:41+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT1H51M55S,6715,165556,2268.0,127.0,https://www.youtube.com/watch?v=Moulqq-h-d8
o6-V9uPK4oY,He Hears - How to Pray,2016-05-17 14:31:17+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT41M16S,2476,164819,2324.0,48.0,https://www.youtube.com/watch?v=o6-V9uPK4oY
X0o1TFAKZ8o,Contend for the Faith – Sermon – Philip Anthony Mitchell – 7/13/25,2025-07-14 18:30:22+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT54M20S,3260,164030,5502.0,315.0,https://www.youtube.com/watch?v=X0o1TFAKZ8o
PvVqoNX_p0M,Sermons - Matt Chandler - The Complementary Roles of Men and Women,2017-11-06 19:16:31+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT55M25S,3325,152924,1942.0,195.0,https://www.youtube.com/watch?v=PvVqoNX_p0M
MHylFoss07s,Recovering Redemption (Part 1) - The Genesis: Creation and Fall,2014-01-23 19:28:38+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT46M26S,2786,135117,1174.0,20.0,https://www.youtube.com/watch?v=MHylFoss07s
WQhq7Zvhmcw,Character and Influence,2018-04-09 16:47:28+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT51M44S,3104,127951,1394.0,14.0,https://www.youtube.com/watch?v=WQhq7Zvhmcw
zb2QbOiEueQ,Just Men,2016-11-07 21:29:47+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT53M23S,3203,127881,1268.0,15.0,https://www.youtube.com/watch?v=zb2QbOiEueQ
GbAesloaSu4,The Gifts of The Holy Spirit,2017-11-13 17:37:42+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT50M27S,3027,127853,1717.0,66.0,https://www.youtube.com/watch?v=GbAesloaSu4
NSfaWaKU2Dk,Revelation: Victory in Doubt - Week 2 - Sermons - Matt Chandler,2021-02-15 20:35:29+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT46M24S,2784,121571,1329.0,69.0,https://www.youtube.com/watch?v=NSfaWaKU2Dk
